6KminI,6KminT,8KminI,8KminT,10KminI,10KminT,12KminI,12KminT,15KminI,15KminT,20KminI,20KminT,25KminI,25KminT,30KminI,30KminT,40KminI,40KminT,50KminI,50KminT,65KminI,65KminT,80KminI,80KminT,100KminI,100KminT,140KminI,140KminT,200KminI,200KminT,6KtotI,6KtotT,8KtotI,8KtotT,10KtotI,10KtotT,12KtotI,12KtotT,15KtotI,15KtotT,20KtotI,20KtotT,25KtotI,25KtotT,30KtotI,30KtotT,40KtotI,40KtotT,50KtotI,50KtotT,65KtotI,65KtotT,80KtotI,80KtotT,100KtotI,100KtotT,140KtotI,140KtotT,200KtotI,200KtotT,6TminI,6TminT,8TminI,8TminT,10TminI,10TminT,12TminI,12TminT,15TminI,15TminT,20TminI,20TminT,25TminI,25TminT,30TminI,30TminT,40TminI,40TminT,50TminI,50TminT,65TminI,65TminT,80TminI,80TminT,100TminI,100TminT,140TminI,140TminT,200TminI,200TminT,6TtotI,6TtotT,8TtotI,8TtotT,10TtotI,10TtotT,12TtotI,12TtotT,15TtotI,15TtotT,20TtotI,20TtotT,25TtotI,25TtotT,30TtotI,30TtotT,40TtotI,40TtotT,50TtotI,50TtotT,65TtotI,65TtotT,80TtotI,80TtotT,100TtotI,100TtotT,140TtotI,140TtotT,200TtotI,200TtotT
230.983,0.01,320.648,0.01,422.988,0.01,548.037,0.01,708.637,0.01,921.813,0.01,1175.37,0.01,1455.84,0.01,1903.29,0.01,2421.98,0.01,2999.92,0.01,3937.65,0.01,4931.21,0.01,7834.87,0.01,10000,0.014903,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013404,10000,0.013499,10000,0.013826,10000,0.014134,10000,0.014564,10000,0.015357,10000,0.016145,10000,0.022144,10000,0.035149,385.8097,0.01,526.5488,0.01,720.0664,0.01,938.5567,0.01,1228.247,0.01,1566.098,0.01,2004.886,0.01,2558.924,0.01,3269.334,0.01,4156.137,0.01,5210.031,0.01,6518.117,0.01,8361.061,0.01,10000,0.01566746,10000,0.03955089,10000,0.013512,10000,0.013512,10000,0.013512,10000,0.013512,10000,0.013512,10000,0.013662,10000,0.013896,10000,0.014219,10000,0.014667,10000,0.015342,10000,0.016753,10000,0.018627,10000,0.020524,10000,0.036364,10000,0.072428
220.598,0.010953,308.075,0.010855,403.971,0.010953,526.022,0.010855,672.729,0.011107,873.356,0.011152,1118.05,0.011052,1390.39,0.011008,1814.09,0.011019,2308.47,0.011008,2859.32,0.011008,3768.15,0.010931,4676.66,0.011085,7452.76,0.011085,9370.67,0.016989,2766.51,0.013485,2763.74,0.013485,2802.7,0.013472,3798.42,0.013593,3925.86,0.013621,5117.09,0.013539,6256.27,0.013607,8336.01,0.013621,8658.87,0.013938,8789.74,0.014205,9030.29,0.014711,9185.12,0.015543,9408.23,0.01652,9617.5,0.02291,9398.82,0.037848,362.6159,0.01133149,500.368,0.01107384,675.426,0.01136553,899.0542,0.01094174,1159.035,0.01120752,1485.256,0.01114048,1924.348,0.01099659,2424.407,0.01117395,3103.674,0.01109601,3949.489,0.01106277,4946.033,0.01110711,6138.532,0.01132016,8001.15,0.01091988,9380.051,0.01794993,9550.42,0.04323231,8025.19,0.013526,7341.81,0.013512,6237.53,0.013607,6831.78,0.013526,6750.29,0.013553,8719.7,0.013716,9075.56,0.013951,9231.16,0.014376,9333.26,0.014948,9550.42,0.015574,9569.54,0.017092,9559.97,0.019155,9617.5,0.021234,9417.64,0.039709,9636.76,0.076294
202.015,0.01306,287.535,0.012486,370.311,0.013021,487.526,0.012649,626.622,0.01284,807.823,0.013034,1029,0.013021,1275.81,0.013034,1659.61,0.013192,2128.86,0.012905,2621.08,0.013047,3492.39,0.012725,4123.02,0.014205,6736.8,0.013675,8564.15,0.020483,2393.09,0.013512,2385.92,0.013512,2393.09,0.013566,3191.8,0.013634,3502.88,0.013771,4488.8,0.013716,5390.21,0.013785,7363.86,0.01373,7641.43,0.014064,7913.62,0.014348,8105.84,0.014933,8419.79,0.015904,8693.58,0.017109,8994.24,0.024351,8780.95,0.041289,325.1688,0.0140917,455.9322,0.01335093,622.2512,0.01336428,823.3186,0.01307348,1064.588,0.0132578,1379.316,0.01291753,1748.201,0.01329763,2240.249,0.01304736,2830.877,0.01336428,3595.152,0.0132578,4435.259,0.01373004,5621.428,0.01345816,7408.185,0.01272522,8719.704,0.02081318,8886.962,0.04982857,6472.65,0.013553,5471.68,0.013553,5482.63,0.013675,5827.48,0.01358,6120.14,0.013675,7749.16,0.013785,8419.79,0.014064,8386.18,0.014564,8676.21,0.01522,8976.27,0.015888,9021.27,0.017559,8807.33,0.020218,9102.82,0.022479,8641.57,0.044772,8994.24,0.084995
184.443,0.015715,265.693,0.014623,330.743,0.016372,447.798,0.014963,577.867,0.015023,703.694,0.01716,932.942,0.015841,1146.35,0.016177,1476.37,0.016686,1912.83,0.015984,2343.36,0.016372,3160.04,0.015481,3726.93,0.01735,5986.97,0.017229,7866.28,0.0244,2156.71,0.013539,2086.7,0.013566,2167.52,0.013689,2902.54,0.013662,3141.14,0.013938,4001.16,0.013896,4752.09,0.013965,6524.63,0.013896,6969.79,0.014205,7153.38,0.014579,7527.66,0.015144,7772.44,0.016356,8113.95,0.017718,8512.92,0.025728,8162.78,0.045449,290.1345,0.01764736,406.4025,0.01678669,581.3446,0.01532654,743.4812,0.01599996,978.8154,0.01571453,1266.918,0.01523486,1552.067,0.01688771,2039.26,0.01573026,2528.4,0.01682029,3269.334,0.01599996,3989.182,0.0170745,5127.334,0.01624177,6770.572,0.01515887,8130.199,0.0240128,8187.31,0.05870875,5341.92,0.013553,3977.23,0.013607,4657.99,0.013771,5101.76,0.013662,5621.42,0.013785,6935.03,0.013924,7718.23,0.014219,7687.42,0.014755,7929.46,0.015574,8336.01,0.016356,8495.91,0.018058,8294.43,0.021022,8572.72,0.023893,8089.64,0.049185,8344.35,0.095736
164.571,0.019582,244.531,0.017281,298.671,0.020057,405.185,0.018239,535.041,0.017542,642.485,0.020565,841.632,0.019387,1023.86,0.020218,1302.89,0.021383,1722.17,0.019759,2101.36,0.020178,2925.85,0.018022,3282.43,0.022389,5401,0.021191,7189.24,0.029212,1961.26,0.013566,1803.24,0.013662,1959.29,0.013813,2615.84,0.013771,2879.41,0.014064,3653.13,0.014078,4369.22,0.014148,5833.31,0.014106,6325.47,0.014376,6492.09,0.014785,6818.13,0.015496,7268.75,0.01682,7595.72,0.018404,8113.95,0.02702,7610.93,0.050028,264.3687,0.02125488,368.4645,0.02031961,525.4966,0.01864516,660.7289,0.02009732,876.8564,0.01962073,1136.085,0.01887025,1393.178,0.02095939,1837.833,0.01940608,2242.49,0.0214256,2940.52,0.01969937,3613.173,0.0207301,4667.325,0.0195424,6126.268,0.01849659,7482.638,0.02829223,7588.132,0.06827811,4210.52,0.01358,3285.72,0.013648,4081.99,0.01384,4593.24,0.013771,5251.87,0.013896,6281.35,0.014064,7075.12,0.014391,7182.05,0.014948,7276.03,0.015952,7679.73,0.016905,8017.16,0.018589,7780.22,0.022012,8073.48,0.025447,7550.28,0.054412,7866.28,0.105593
144.943,0.025219,220.598,0.021191,268.632,0.024794,368.833,0.022012,475.489,0.022233,569.833,0.026091,736.083,0.025396,921.813,0.025043,1163.68,0.026698,1558.28,0.024061,1901.39,0.02467,2725.32,0.020792,2905.44,0.028548,4852.94,0.026117,6643.14,0.034144,1797.84,0.013593,1652.99,0.013744,1783.51,0.013951,2400.28,0.013882,2658.03,0.014248,3335.37,0.014276,4021.22,0.014362,5331.25,0.014319,5792.62,0.014608,6023,0.015008,6218.85,0.01592,6784.12,0.017385,7131.95,0.019155,7788.01,0.028207,7068.05,0.05579,237.3046,0.0263795,334.7367,0.02454693,469.3477,0.02332642,597.8524,0.02464532,794.2065,0.02391694,1018.762,0.02353731,1278.372,0.02491792,1659.618,0.02391694,1967.152,0.02775975,2618.461,0.02476886,3220.66,0.02611702,4110.67,0.02521873,5526.672,0.02268234,6941.97,0.0329367,6962.827,0.08101138,3419.81,0.013621,2961.17,0.01373,3764.39,0.013924,4218.94,0.013868,4906.62,0.014021,5781.05,0.014219,6531.16,0.014594,6723.34,0.015174,6743.54,0.01634,7254.23,0.017333,7542.73,0.019251,7349.15,0.023002,7550.28,0.027429,7089.29,0.060135,7385.99,0.117283
131.676,0.030526,201.008,0.025472,233.771,0.032707,333.734,0.026886,434.999,0.026565,521.831,0.031174,652.195,0.032317,820.032,0.031614,1027.97,0.03435,1375.18,0.030895,1689.76,0.031205,2441.43,0.025702,2584.64,0.035931,4343.09,0.032772,5992.96,0.041787,1671.27,0.013607,1524.37,0.013854,1630.01,0.01412,2145.96,0.014092,2429.26,0.014477,3054.41,0.014492,3697.23,0.014608,4843.25,0.014579,5230.91,0.014918,5526.67,0.015327,5740.72,0.016405,6344.48,0.017986,6683.12,0.020097,7393.38,0.029743,6730.07,0.060135,214.5075,0.03222001,302.5797,0.03007179,425.1084,0.02840563,548.0376,0.02956489,703.6938,0.03037401,911.7294,0.02935865,1145.21,0.0309257,1498.684,0.02932931,1748.201,0.03507848,2352.755,0.03055681,2911.262,0.03189941,3656.792,0.03177207,4946.033,0.02826395,6427.5,0.0384973,6440.368,0.09468826,2920,0.013662,2736.24,0.013826,3389.17,0.014035,3961.35,0.013979,4506.79,0.014205,5220.46,0.014448,5933.33,0.014844,6268.8,0.015434,6306.53,0.01677,6804.5,0.017843,7075.12,0.020077,6941.96,0.024085,7153.38,0.029271,6649.79,0.066859,7011.73,0.128843
117.371,0.03842,177.389,0.032772,209.839,0.040593,303.488,0.032446,390.077,0.033069,471.7,0.038267,577.867,0.041289,734.612,0.039314,910.818,0.043711,1231.93,0.038574,1486.74,0.040229,2233.53,0.03071,2290.08,0.04586,3894.58,0.040633,5449.83,0.050784,1561.4,0.013634,1391.78,0.013993,1486.74,0.014348,1901.39,0.014348,2209.1,0.01474,2728.04,0.014844,3352.09,0.014933,4461.95,0.014859,4752.09,0.015204,5127.33,0.015699,5374.07,0.016871,5903.73,0.018776,6319.15,0.020918,6976.76,0.031645,6344.48,0.065996,189.4917,0.04120617,278.4795,0.03539561,378.5485,0.03582292,491.442,0.03669307,638.6417,0.0370248,823.3186,0.03614677,1021.823,0.03884533,1333.207,0.03698779,1547.417,0.04459351,2051.532,0.0400684,2595,0.040229,3308.803,0.03876772,4453.036,0.03486864,5998.958,0.04428244,5850.843,0.1145018,2636.85,0.013675,2546.16,0.013882,3144.28,0.014106,3675.12,0.01412,4168.62,0.014391,4690.71,0.01477,5510.11,0.015053,5886.05,0.015683,5827.48,0.017315,6363.54,0.018423,6610.01,0.021001,6596.8,0.025219,6723.34,0.031582,6256.27,0.074261,6421.07,0.151198
107.484,0.045768,162.445,0.038962,189.491,0.050128,273.785,0.039789,357.217,0.039432,422.143,0.047588,509.456,0.053228,650.241,0.049928,831.593,0.052174,1124.78,0.046228,1317.3,0.051192,2057.69,0.036075,2051.53,0.056974,3495.88,0.050734,5015.76,0.059955,1451.48,0.013689,1271.99,0.014162,1349.3,0.014623,1718.73,0.014637,1990.9,0.015083,2520.82,0.015129,3030.07,0.015311,4143.68,0.015083,4421.97,0.015465,4733.12,0.016177,5045.95,0.017367,5411.82,0.019977,5939.26,0.022012,6603.4,0.033804,6023,0.071923,166.7249,0.05317502,253.4951,0.04263128,341.8406,0.04379801,440.6911,0.04558544,566.9912,0.04687987,728.0309,0.04636702,896.361,0.05037971,1186.002,0.04673944,1376.56,0.05629405,1769.306,0.0538708,2343.362,0.04933277,3005.928,0.04697372,3949.489,0.04432674,5477.155,0.05317502,5325.922,0.1383229,2434.12,0.01373,2327.01,0.014007,2925.85,0.014205,3423.23,0.014276,3890.68,0.014608,4317.1,0.015008,5071.24,0.015327,5537.73,0.015984,5499.1,0.017771,5856.69,0.019348,6200.22,0.0221,6126.26,0.027237,6250.02,0.03466,5844.99,0.083145,6010.96,0.17133
94.476,0.059062,146.546,0.047779,173.529,0.059895,248.724,0.048308,321.933,0.048647,385.038,0.057546,447.798,0.069102,586.014,0.061534,731.68,0.067262,1030.03,0.05529,1175.37,0.064302,1880.59,0.043406,1792.45,0.074858,3194.99,0.060497,4574.9,0.071923,1354.71,0.013744,1167.17,0.014348,1236.87,0.014888,1544.32,0.014948,1830.49,0.015403,2322.36,0.015434,2772.04,0.015667,3806.02,0.015373,4065.7,0.015841,4408.72,0.016736,4718.94,0.017968,5076.31,0.020918,5521.14,0.023443,6275.07,0.035931,5655.25,0.079885,151.6152,0.06410927,231.6772,0.05088604,302.5797,0.05590136,390.858,0.05766145,514.0621,0.057202,663.3771,0.05556696,805.4035,0.06209025,1062.461,0.05795048,1227.019,0.07113569,1544.326,0.07063948,2065.943,0.06366208,2730.778,0.05697364,3548.718,0.05473967,5010.751,0.06366208,4823.916,0.169117,2148.1,0.01384,2158.87,0.014106,2783.15,0.014262,3156.88,0.014477,3682.47,0.014785,3997.16,0.015265,4630.13,0.015667,5204.82,0.01634,5132.46,0.018368,5488.12,0.020198,5729.25,0.023608,5706.38,0.029183,5862.55,0.037811,5417.23,0.094878,5621.42,0.193948
